CRC;Date;Time;Latitude;Longitude;Fix
OK;20/05/2023;00:02:08;4,6432385;-52,1592941;3D
OK;20/05/2023;01:01:52;4,642931;-52,1590652;3D
OK;20/05/2023;02:01:36;4,6429825;-52,1590385;3D
OK;20/05/2023;03:01:20;4,6429825;-52,158989;3D
OK;20/05/2023;04:01:04;4,6429825;-52,158989;3D
OK;20/05/2023;05:00:48;4,6429825;-52,1590385;3D
OK;20/05/2023;06:00:32;4,6429825;-52,1590385;3D
OK;20/05/2023;07:00:16;4,6429567;-52,158989;3D
OK;20/05/2023;08:00:00;4,642931;-52,1590157;3D
OK;20/05/2023;08:59:44;4,6293631;-52,1540718;3D
OK;20/05/2023;09:59:28;4,6291838;-52,1541252;3D
OK;20/05/2023;10:59:12;4,629312;-52,1540222;3D
OK;20/05/2023;11:58:56;4,629107;-52,1539955;3D
OK;20/05/2023;12:58:40;4,629107;-52,1540222;3D
OK;20/05/2023;14:02:40;4,6291327;-52,1539955;3D
OK;20/05/2023;15:02:24;4,6289535;-52,1540985;3D
OK;20/05/2023;19:01:20;4,6286974;-52,1545105;3D
OK;20/05/2023;20:01:04;4,6284928;-52,1545105;3D
OK;20/05/2023;22:00:32;4,6286206;-52,1545868;3D
OK;20/05/2023;23:00:16;4,6282878;-52,1545334;3D
OK;21/05/2023;00:00:00;4,6285954;-52,1544571;3D
OK;21/05/2023;00:59:44;4,6283903;-52,1544571;3D
OK;21/05/2023;01:59:28;4,6284671;-52,1545105;3D
OK(corrected);21/05/2023;01:59:28;4,6153598;-50,4767876;3D
OK;21/05/2023;02:59:12;4,6284671;-52,1545334;3D
OK;21/05/2023;03:58:56;4,6284418;-52,1545105;3D
OK;21/05/2023;04:58:40;4,6284161;-52,1545601;3D
OK;21/05/2023;06:02:40;4,6284418;-52,1544571;3D
OK;21/05/2023;07:02:24;4,6283646;-52,1544075;3D
OK;21/05/2023;08:02:08;4,6283903;-52,1543808;3D
OK;21/05/2023;10:01:36;4,6281343;-52,154892;3D
OK;21/05/2023;11:01:20;4,6280832;-52,154789;3D
OK;21/05/2023;12:01:04;4,6272898;-52,154789;3D
OK;21/05/2023;13:00:48;4,6273665;-52,1549187;2D
OK;21/05/2023;14:00:32;4,6273408;-52,154892;2D
OK;21/05/2023;16:00:00;4,627213;-52,1547127;3D
OK;21/05/2023;16:59:44;4,6277761;-52,153511;3D
OK;21/05/2023;17:59:28;4,6275969;-52,154892;2D
OK;21/05/2023;18:59:12;4,6269822;-52,1549683;3D
OK;21/05/2023;20:03:12;4,6269569;-52,1551743;3D
OK;21/05/2023;20:58:40;4,6269312;-52,1556625;3D
OK;21/05/2023;22:02:40;4,627059;-52,1552773;3D
OK;21/05/2023;23:02:24;4,6271873;-52,1554298;3D
OK;22/05/2023;00:02:08;4,627213;-52,1554298;3D
OK;22/05/2023;02:01:36;4,627213;-52,1555061;3D
OK;22/05/2023;03:01:20;4,6271873;-52,1554832;3D
OK;22/05/2023;04:01:04;4,6271873;-52,1553802;3D
OK;22/05/2023;05:00:48;4,6271873;-52,1554832;3D
OK;22/05/2023;06:00:32;4,627264;-52,1553535;3D
OK;22/05/2023;07:00:16;4,627213;-52,1554832;3D
OK;22/05/2023;08:00:00;4,6264448;-52,1554298;3D
OK;22/05/2023;08:59:44;4,6258559;-52,1557617;3D
